#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000022_00501	718252.FP2_08350	3e-113	325.0	COG1595@1|root,COG1595@2|Bacteria,1V4NR@1239|Firmicutes,24RRU@186801|Clostridia,3WKQW@541000|Ruminococcaceae	186801|Clostridia	K	DNA-templated transcription, initiation	-	-	-	-	-	-	-	-	-	-	-	-	Sigma70_r4_2
MGYG000000022_00952	411483.FAEPRAA2165_01406	2.54e-93	273.0	COG1585@1|root,COG1585@2|Bacteria,1VAS9@1239|Firmicutes,24MRQ@186801|Clostridia,3WKQY@541000|Ruminococcaceae	186801|Clostridia	OU	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,HTH_31,NfeD
MGYG000000022_01341	657322.FPR_29440	0.0	871.0	COG0771@1|root,COG0771@2|Bacteria,1TQ3P@1239|Firmicutes,248GS@186801|Clostridia,3WG85@541000|Ruminococcaceae	186801|Clostridia	M	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA)	murD	-	6.3.2.9	ko:K01925	ko00471,ko00550,ko01100,map00471,map00550,map01100	-	R02783	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	iHN637.CLJU_RS20420	AlaDh_PNT_C,Mur_ligase_C,Mur_ligase_M
MGYG000000022_01194	748224.HMPREF9436_01538	0.0	1173.0	COG0272@1|root,COG0272@2|Bacteria,1TPQ3@1239|Firmicutes,248AX@186801|Clostridia,3WGTP@541000|Ruminococcaceae	186801|Clostridia	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA	ligA	-	6.5.1.2	ko:K01972	ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430	-	R00382	RC00005	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	BRCT,DNA_ligase_OB,DNA_ligase_ZBD,DNA_ligase_aden,HHH_2,HHH_5
MGYG000000022_00503	748224.HMPREF9436_03397	4.44e-79	235.0	COG1476@1|root,COG1476@2|Bacteria,1UK9D@1239|Firmicutes,25FRC@186801|Clostridia,3WMKB@541000|Ruminococcaceae	186801|Clostridia	K	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
MGYG000000022_00354	411483.FAEPRAA2165_01091	7.28e-175	495.0	COG1028@1|root,COG1028@2|Bacteria,1TPZ8@1239|Firmicutes,24903@186801|Clostridia,3WHXZ@541000|Ruminococcaceae	186801|Clostridia	IQ	Psort location Cytoplasmic, score	-	-	1.1.1.69	ko:K00046	-	-	-	-	ko00000,ko01000	-	-	-	adh_short_C2
MGYG000000022_02086	657322.FPR_24750	4.78e-51	163.0	2CZEX@1|root,32T68@2|Bacteria,1VB18@1239|Firmicutes,24MZP@186801|Clostridia,3WPUQ@541000|Ruminococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_01996	411483.FAEPRAA2165_02801	5.92e-112	322.0	COG0454@1|root,COG0456@2|Bacteria,1V4FY@1239|Firmicutes,25E88@186801|Clostridia,3WJBZ@541000|Ruminococcaceae	186801|Clostridia	K	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1,Acetyltransf_10,Acetyltransf_9
MGYG000000022_02877	657322.FPR_15390	1.09e-215	597.0	28I6P@1|root,2Z89K@2|Bacteria,1TSZ7@1239|Firmicutes,24AUY@186801|Clostridia,3WHKG@541000|Ruminococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_02489	411483.FAEPRAA2165_03376	7.1e-170	478.0	COG0834@1|root,COG0834@2|Bacteria,1TQNR@1239|Firmicutes,249Y5@186801|Clostridia,3WIDR@541000|Ruminococcaceae	186801|Clostridia	ET	Belongs to the bacterial solute-binding protein 3 family	fliY1	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	SBP_bac_3
MGYG000000022_02630	411483.FAEPRAA2165_02208	1.03e-305	846.0	COG0612@1|root,COG0612@2|Bacteria,1TPN6@1239|Firmicutes,248J8@186801|Clostridia,3WHRP@541000|Ruminococcaceae	186801|Clostridia	S	Peptidase M16 inactive domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M16,Peptidase_M16_C
MGYG000000022_02629	411483.FAEPRAA2165_02208	1.03e-305	846.0	COG0612@1|root,COG0612@2|Bacteria,1TPN6@1239|Firmicutes,248J8@186801|Clostridia,3WHRP@541000|Ruminococcaceae	186801|Clostridia	S	Peptidase M16 inactive domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M16,Peptidase_M16_C
MGYG000000022_02312	411483.FAEPRAA2165_00756	6.68e-150	421.0	COG1974@1|root,COG1974@2|Bacteria,1TQ3H@1239|Firmicutes,24AXJ@186801|Clostridia,3WHGN@541000|Ruminococcaceae	186801|Clostridia	K	Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair	lexA	-	3.4.21.88	ko:K01356	-	M00729	-	-	ko00000,ko00002,ko01000,ko01002,ko03400	-	-	-	HTH_19,HTH_3,HTH_31,LexA_DNA_bind,Peptidase_S24
MGYG000000022_00845	537007.BLAHAN_04259	6.4e-75	225.0	2F1XA@1|root,33UWV@2|Bacteria,1VV3M@1239|Firmicutes,2505J@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_02480	411483.FAEPRAA2165_03388	1.34e-70	216.0	2EQJX@1|root,33I5X@2|Bacteria,1VQRK@1239|Firmicutes,24WAA@186801|Clostridia,3WQN1@541000|Ruminococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_02358	748224.HMPREF9436_01524	1.24e-131	375.0	COG3601@1|root,COG3601@2|Bacteria,1V4BW@1239|Firmicutes,24E4V@186801|Clostridia,3WI1Y@541000|Ruminococcaceae	186801|Clostridia	S	Mediates riboflavin uptake, may also transport FMN and roseoflavin. Probably a riboflavin-binding protein that interacts with the energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. The substrates themselves are bound by transmembrane, not extracytoplasmic soluble proteins	ribU	-	-	-	-	-	-	-	-	-	-	-	ECF_trnsprt
MGYG000000022_02164	411483.FAEPRAA2165_02628	1.99e-314	862.0	COG0733@1|root,COG0733@2|Bacteria,1TP6B@1239|Firmicutes,2485D@186801|Clostridia,3WH3J@541000|Ruminococcaceae	186801|Clostridia	P	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family	-	-	-	ko:K03308	-	-	-	-	ko00000	2.A.22.4,2.A.22.5	-	-	SNF
MGYG000000022_00367	411483.FAEPRAA2165_01076	4.41e-101	295.0	2DMMK@1|root,32SFZ@2|Bacteria,1VARW@1239|Firmicutes,24NN3@186801|Clostridia,3WPMY@541000|Ruminococcaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_01569	658088.HMPREF0987_00375	1.6e-16	79.7	2DSIC@1|root,33G98@2|Bacteria,1VPJJ@1239|Firmicutes,24W0J@186801|Clostridia	186801|Clostridia	S	TM2 domain	-	-	-	-	-	-	-	-	-	-	-	-	TM2
MGYG000000022_01571	411483.FAEPRAA2165_00160	0.0	1521.0	COG1472@1|root,COG1472@2|Bacteria,1TP0T@1239|Firmicutes	1239|Firmicutes	G	hydrolase, family 3	-	-	3.2.1.21,3.2.1.52	ko:K01207,ko:K05349	ko00460,ko00500,ko00520,ko00531,ko00940,ko01100,ko01110,ko01501,map00460,map00500,map00520,map00531,map00940,map01100,map01110,map01501	M00628	R00022,R00026,R02558,R02887,R02985,R03527,R04949,R04998,R05963,R07809,R07810,R10035,R10039,R10040,R10831	RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248	ko00000,ko00001,ko00002,ko01000	-	GH3	-	Cohesin,Glyco_hydro_3,Glyco_hydro_3_C
MGYG000000022_00071	411483.FAEPRAA2165_03051	6.64e-185	513.0	COG2820@1|root,COG2820@2|Bacteria,1TQ71@1239|Firmicutes,2482S@186801|Clostridia,3WJD0@541000|Ruminococcaceae	186801|Clostridia	F	Phosphorylase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	PNP_UDP_1
MGYG000000022_01330	411483.FAEPRAA2165_01572	0.0	1235.0	COG4716@1|root,COG4716@2|Bacteria,1TQZ6@1239|Firmicutes,248TZ@186801|Clostridia,3WGYT@541000|Ruminococcaceae	186801|Clostridia	S	MCRA family	-	-	4.2.1.53	ko:K10254	-	-	-	-	ko00000,ko01000	-	-	-	MCRA
MGYG000000022_01436	411483.FAEPRAA2165_00003	9.09e-50	158.0	2DRCI@1|root,33B7V@2|Bacteria,1VKC1@1239|Firmicutes,24S49@186801|Clostridia,3WQWC@541000|Ruminococcaceae	186801|Clostridia	S	SPP1 phage holin	-	-	-	-	-	-	-	-	-	-	-	-	Holin_SPP1
MGYG000000022_02471	411483.FAEPRAA2165_03397	0.0	882.0	COG0860@1|root,COG5632@1|root,COG0860@2|Bacteria,COG5632@2|Bacteria,1V5B9@1239|Firmicutes,24EYS@186801|Clostridia,3WK1E@541000|Ruminococcaceae	186801|Clostridia	M	N-acetylmuramoyl-L-alanine amidase	-	-	-	-	-	-	-	-	-	-	-	-	Amidase_2,Glucosaminidase,SH3_3
MGYG000000022_01305	411483.FAEPRAA2165_01601	1.68e-227	626.0	COG0539@1|root,COG0539@2|Bacteria,1UV93@1239|Firmicutes,249P6@186801|Clostridia,3WH6M@541000|Ruminococcaceae	186801|Clostridia	J	S1 RNA binding domain protein	-	-	-	ko:K02945	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Replic_Relax,S1
MGYG000000022_02231	1226322.HMPREF1545_00649	1.61e-69	211.0	COG1476@1|root,COG1476@2|Bacteria,1V6AC@1239|Firmicutes,24HZZ@186801|Clostridia	186801|Clostridia	K	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
MGYG000000022_01749	411483.FAEPRAA2165_00386	7.78e-62	191.0	COG3668@1|root,COG3668@2|Bacteria,1VA8N@1239|Firmicutes,24NW1@186801|Clostridia,3WKMP@541000|Ruminococcaceae	186801|Clostridia	S	ParE toxin of type II toxin-antitoxin system, parDE	-	-	-	-	-	-	-	-	-	-	-	-	ParE_toxin
MGYG000000022_01126	658086.HMPREF0994_05452	2.56e-240	712.0	COG0841@1|root,COG0841@2|Bacteria,1TQ03@1239|Firmicutes,2491S@186801|Clostridia,27IJT@186928|unclassified Lachnospiraceae	186801|Clostridia	V	AcrB/AcrD/AcrF family	czcA	-	-	ko:K03296	-	-	-	-	ko00000	2.A.6.2	-	-	ACR_tran,MMPL,NTP_transf_3
MGYG000000022_02209	718252.FP2_13240	1.29e-67	204.0	29P1J@1|root,309ZR@2|Bacteria,1V4QJ@1239|Firmicutes,24HJS@186801|Clostridia,3WJ06@541000|Ruminococcaceae	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000022_01250	411483.FAEPRAA2165_01665	0.0	1572.0	COG0466@1|root,COG0466@2|Bacteria,1TNYG@1239|Firmicutes,247SH@186801|Clostridia,3WH4M@541000|Ruminococcaceae	186801|Clostridia	O	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner	lon	-	3.4.21.53	ko:K01338	ko04112,map04112	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	AAA,LON_substr_bdg,Lon_C
MGYG000000022_00766	411483.FAEPRAA2165_01842	1.11e-49	159.0	COG0184@1|root,COG0184@2|Bacteria,1VA5C@1239|Firmicutes,24MRM@186801|Clostridia,3WK6U@541000|Ruminococcaceae	186801|Clostridia	J	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome	rpsO	-	-	ko:K02956	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S15
MGYG000000022_02831	622312.ROSEINA2194_02836	2.96e-99	295.0	COG0454@1|root,COG0456@2|Bacteria,1V1VV@1239|Firmicutes,25CUX@186801|Clostridia	186801|Clostridia	K	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1
MGYG000000022_00979	718252.FP2_03820	1.32e-189	526.0	COG0561@1|root,COG0561@2|Bacteria,1V43V@1239|Firmicutes,24AQQ@186801|Clostridia,3WJFW@541000|Ruminococcaceae	186801|Clostridia	S	HAD hydrolase, family IIB	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_3
MGYG000000022_02217	411471.SUBVAR_04721	5.21e-177	493.0	COG2304@1|root,COG2304@2|Bacteria,1TRPP@1239|Firmicutes,249HV@186801|Clostridia,3WI86@541000|Ruminococcaceae	186801|Clostridia	S	von Willebrand factor (vWF) type A domain	-	-	-	-	-	-	-	-	-	-	-	-	VWA,VWA_CoxE
MGYG000000022_02614	748224.HMPREF9436_01333	0.0	1037.0	COG0369@1|root,COG1151@2|Bacteria,1TP8X@1239|Firmicutes,247IN@186801|Clostridia,3WGG6@541000|Ruminococcaceae	186801|Clostridia	C	Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O	hcp	-	1.7.99.1	ko:K05601	ko00910,map00910	-	R00143	RC02797	ko00000,ko00001,ko01000	-	-	-	Prismane
MGYG000000022_01699	718252.FP2_15450	9.85e-60	185.0	COG0776@1|root,COG0776@2|Bacteria,1VZ6B@1239|Firmicutes,253S5@186801|Clostridia,3WQ7M@541000|Ruminococcaceae	186801|Clostridia	L	bacterial (prokaryotic) histone like domain	-	-	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
MGYG000000022_01199	718252.FP2_07660	1.95e-125	372.0	2C2CG@1|root,2Z7PW@2|Bacteria,1TQQ2@1239|Firmicutes,24AH2@186801|Clostridia,3WJA7@541000|Ruminococcaceae	186801|Clostridia	S	Stage III sporulation protein AE (spore_III_AE)	spoIIIAE	-	-	ko:K06394	-	-	-	-	ko00000	-	-	-	Spore_III_AE
MGYG000000022_01169	411483.FAEPRAA2165_02387	2.51e-149	420.0	COG0164@1|root,COG0164@2|Bacteria,1V1D6@1239|Firmicutes,248IT@186801|Clostridia,3WIMJ@541000|Ruminococcaceae	186801|Clostridia	L	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids	rnhB	-	3.1.26.4	ko:K03470	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	Cauli_VI,RNase_H,RNase_HII,UPF0102
MGYG000000022_00406	411483.FAEPRAA2165_01031	2.33e-210	582.0	COG1131@1|root,COG1131@2|Bacteria,1TP4J@1239|Firmicutes,253U3@186801|Clostridia,3WGJ6@541000|Ruminococcaceae	186801|Clostridia	V	AAA domain, putative AbiEii toxin, Type IV TA system	bcrA_2	-	-	ko:K01990,ko:K20459	ko02010,map02010	M00254,M00813	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1,3.A.1.124.3,3.A.1.124.4,3.A.1.124.5	-	-	AAA_21,ABC_tran
MGYG000000022_02596	411483.FAEPRAA2165_02162	0.0	2741.0	COG2176@1|root,COG2176@2|Bacteria,1TPAG@1239|Firmicutes,248YB@186801|Clostridia,3WGJN@541000|Ruminococcaceae	186801|Clostridia	L	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity	polC	-	2.7.7.7	ko:K02342,ko:K03763	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_a_NI,DNA_pol3_a_NII,DNA_pol3_alpha,HHH_6,PHP,RNase_T,tRNA_anti-codon
MGYG000000022_01447	566552.BIFCAT_01622	0.0	1382.0	COG0304@1|root,COG0331@1|root,COG2030@1|root,COG4981@1|root,COG0304@2|Bacteria,COG0331@2|Bacteria,COG2030@2|Bacteria,COG4981@2|Bacteria,2GIY4@201174|Actinobacteria,4CYXJ@85004|Bifidobacteriales	201174|Actinobacteria	I	Beta-ketoacyl synthase, C-terminal domain	fas	-	-	ko:K11533	ko00061,ko01100,ko01212,ko04931,map00061,map01100,map01212,map04931	M00082,M00083	R01624,R01626,R04355,R04428,R04429,R04533,R04534,R04535,R04536,R04537,R04543,R04544,R04566,R04568,R04724,R04726,R04952,R04953,R04954,R04955,R04957,R04958,R04960,R04961,R04963,R04964,R04965,R04966,R04968,R04969,R07762,R07763,R07764,R07765,R10700	RC00004,RC00029,RC00039,RC00052,RC00076,RC00117,RC00831,RC01095,RC02727,RC02728,RC02729,RC02857,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyl_transf_1,DUF1729,Ketoacyl-synt_C,MaoC_dehydratas,SAT,adh_short,ketoacyl-synt
MGYG000000022_00934	411483.FAEPRAA2165_01385	0.0	1735.0	COG0480@1|root,COG3688@1|root,COG0480@2|Bacteria,COG3688@2|Bacteria,1TPQH@1239|Firmicutes,247X4@186801|Clostridia,3WH08@541000|Ruminococcaceae	186801|Clostridia	J	elongation factor G	tetP	-	-	-	-	-	-	-	-	-	-	-	EFG_C,EFG_II,EFG_IV,GTP_EFTU,NYN_YacP
MGYG000000022_00590	411483.FAEPRAA2165_03193	0.0	1154.0	COG0768@1|root,COG0768@2|Bacteria,1TP93@1239|Firmicutes,248KB@186801|Clostridia,3WGI4@541000|Ruminococcaceae	186801|Clostridia	M	Penicillin-binding Protein	spoVD	-	3.4.16.4	ko:K03587,ko:K08384	ko00550,ko01501,map00550,map01501	-	-	-	ko00000,ko00001,ko01000,ko01011,ko03036	-	-	-	PASTA,PBP_dimer,Transpeptidase
