#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000076_02282	411469.EUBHAL_01633	4.23e-88	261.0	COG0789@1|root,COG0789@2|Bacteria,1V3QI@1239|Firmicutes,25B3D@186801|Clostridia,25WSQ@186806|Eubacteriaceae	186801|Clostridia	K	helix_turn_helix, mercury resistance	-	-	-	-	-	-	-	-	-	-	-	-	MerR-DNA-bind,MerR_1
MGYG000000076_02390	411468.CLOSCI_00384	2.68e-127	365.0	COG0378@1|root,COG0378@2|Bacteria,1TS00@1239|Firmicutes,248T1@186801|Clostridia,21YG5@1506553|Lachnoclostridium	186801|Clostridia	KO	Hydrogenase accessory protein HypB	hypB	-	-	ko:K04652	-	-	-	-	ko00000,ko03110	-	-	-	cobW
MGYG000000076_02892	742765.HMPREF9457_02878	0.0	904.0	COG3843@1|root,COG3843@2|Bacteria,1TPRX@1239|Firmicutes,2481D@186801|Clostridia,27V74@189330|Dorea	186801|Clostridia	U	Relaxase/Mobilisation nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	Relaxase
MGYG000000076_01635	585394.RHOM_12445	0.0	1216.0	COG0507@1|root,COG0507@2|Bacteria,1TPZH@1239|Firmicutes,247R7@186801|Clostridia	186801|Clostridia	L	DNA-dependent ATPase and ATP-dependent 5'-3' DNA helicase. Has no activity on blunt DNA or DNA with 3'-overhangs, requires at least 10 bases of 5'-ssDNA for helicase activity	recD2	-	3.1.11.5	ko:K03581	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	AAA_30,HHH_4,HHH_5,UvrD_C_2
MGYG000000076_00903	1235802.C823_03877	4.31e-185	529.0	COG2866@1|root,COG3409@1|root,COG2866@2|Bacteria,COG3409@2|Bacteria,1TP3K@1239|Firmicutes,249MT@186801|Clostridia,25WZ3@186806|Eubacteriaceae	186801|Clostridia	E	Zn_pept	-	-	3.4.19.11	ko:K01308	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	LysM,PG_binding_1,Peptidase_M14
MGYG000000076_03808	1235790.C805_01095	3.68e-171	501.0	COG0641@1|root,COG0641@2|Bacteria,1TT6S@1239|Firmicutes,248QW@186801|Clostridia,25YES@186806|Eubacteriaceae	186801|Clostridia	C	4Fe-4S single cluster domain	ccpM	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM
MGYG000000076_01479	1280688.AUJB01000013_gene2379	2.88e-167	471.0	COG1024@1|root,COG1024@2|Bacteria,1TQ89@1239|Firmicutes,247RK@186801|Clostridia,3NGQJ@46205|Pseudobutyrivibrio	186801|Clostridia	I	Enoyl-CoA hydratase/isomerase	crt	-	4.2.1.17	ko:K01715	ko00650,ko01200,map00650,map01200	-	R03026	RC00831	ko00000,ko00001,ko01000	-	-	-	ECH_1
MGYG000000076_00964	622312.ROSEINA2194_04436	1.28e-163	461.0	28P0Q@1|root,2ZBX8@2|Bacteria,1V22P@1239|Firmicutes,248XV@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_02274	585394.RHOM_14005	6.06e-111	321.0	2E210@1|root,32X8X@2|Bacteria,1VC8E@1239|Firmicutes,24PXS@186801|Clostridia	186801|Clostridia	S	Loader and inhibitor of phage G40P	-	-	-	-	-	-	-	-	-	-	-	-	Inhibitor_G39P
MGYG000000076_01719	585394.RHOM_08675	7.41e-185	522.0	COG0687@1|root,COG0687@2|Bacteria,1TPY1@1239|Firmicutes,2483K@186801|Clostridia	186801|Clostridia	P	ABC transporter, solute-binding protein	potD	-	-	ko:K11069	ko02010,map02010	M00299	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11.1	-	-	BPD_transp_1,SBP_bac_6,SBP_bac_8
MGYG000000076_03354	877424.ATWC01000015_gene634	3.33e-203	610.0	COG0784@1|root,COG5002@1|root,COG0784@2|Bacteria,COG5002@2|Bacteria,1TSDF@1239|Firmicutes,250SJ@186801|Clostridia,27ISK@186928|unclassified Lachnospiraceae	186801|Clostridia	T	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	-	-	-	-	-	-	-	4HB_MCP_1,GAF_2,HATPase_c,HisKA,Hpt,Response_reg
MGYG000000076_02749	397291.C804_04887	0.0	1093.0	COG1472@1|root,COG1472@2|Bacteria,1TP0T@1239|Firmicutes,24932@186801|Clostridia,27J28@186928|unclassified Lachnospiraceae	186801|Clostridia	G	Glycosyl hydrolase family 3 C-terminal domain	-	-	3.2.1.21	ko:K05349	ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110	-	R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040	RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248	ko00000,ko00001,ko01000	-	GH3	-	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C
MGYG000000076_00187	622312.ROSEINA2194_03938	4.57e-138	393.0	28N3U@1|root,2ZB9G@2|Bacteria,1V09T@1239|Firmicutes,2493C@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03849	1345695.CLSA_c37100	6.85e-172	499.0	COG0641@1|root,COG0641@2|Bacteria,1TT6S@1239|Firmicutes,248QW@186801|Clostridia,36FP9@31979|Clostridiaceae	186801|Clostridia	C	Radical SAM	ccpM	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM
MGYG000000076_03508	537013.CLOSTMETH_00529	1.39e-07	52.8	COG0640@1|root,COG0640@2|Bacteria,1V6Z2@1239|Firmicutes,24JUM@186801|Clostridia,3WQR3@541000|Ruminococcaceae	186801|Clostridia	K	helix_turn_helix, Arsenical Resistance Operon Repressor	-	-	-	-	-	-	-	-	-	-	-	-	HTH_20,HTH_5
MGYG000000076_02663	411469.EUBHAL_02115	2.34e-265	745.0	COG0642@1|root,COG2770@1|root,COG2205@2|Bacteria,COG2770@2|Bacteria,1TRZX@1239|Firmicutes,249AI@186801|Clostridia,25WPZ@186806|Eubacteriaceae	186801|Clostridia	T	His Kinase A (phosphoacceptor) domain	-	-	2.7.13.3	ko:K20487	ko02020,ko02024,map02020,map02024	M00816	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA
MGYG000000076_02664	411469.EUBHAL_02115	2.34e-265	745.0	COG0642@1|root,COG2770@1|root,COG2205@2|Bacteria,COG2770@2|Bacteria,1TRZX@1239|Firmicutes,249AI@186801|Clostridia,25WPZ@186806|Eubacteriaceae	186801|Clostridia	T	His Kinase A (phosphoacceptor) domain	-	-	2.7.13.3	ko:K20487	ko02020,ko02024,map02020,map02024	M00816	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA
MGYG000000076_00407	622312.ROSEINA2194_00035	3.09e-94	281.0	COG0237@1|root,COG0237@2|Bacteria,1V6FS@1239|Firmicutes,24GFQ@186801|Clostridia	186801|Clostridia	H	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A	coaE	-	2.7.1.24	ko:K00859	ko00770,ko01100,map00770,map01100	M00120	R00130	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	CoaE
MGYG000000076_00019	622312.ROSEINA2194_00298	1.32e-15	81.6	2DPWP@1|root,333PS@2|Bacteria,1UJP7@1239|Firmicutes,25F77@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03747	511680.BUTYVIB_01343	2.39e-310	850.0	COG2211@1|root,COG2211@2|Bacteria,1TRA5@1239|Firmicutes,24ABB@186801|Clostridia,4C1ND@830|Butyrivibrio	186801|Clostridia	G	MFS/sugar transport protein	-	-	-	-	-	-	-	-	-	-	-	-	MFS_2
MGYG000000076_00543	1410628.JNKS01000018_gene775	3.9e-195	571.0	COG1061@1|root,COG3886@1|root,COG1061@2|Bacteria,COG3886@2|Bacteria,1TQ62@1239|Firmicutes,249TK@186801|Clostridia,27J9P@186928|unclassified Lachnospiraceae	186801|Clostridia	L	helicase superfamily c-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	DUF3427,Helicase_C,PLDc_2,ResIII
MGYG000000076_02891	500632.CLONEX_02453	2.74e-72	218.0	COG1476@1|root,COG1476@2|Bacteria,1V4DH@1239|Firmicutes,24HSN@186801|Clostridia	186801|Clostridia	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
MGYG000000076_03824	457412.RSAG_02978	4.14e-56	186.0	28NQR@1|root,2ZBQ4@2|Bacteria,1V3BU@1239|Firmicutes,24FVP@186801|Clostridia,3WPFF@541000|Ruminococcaceae	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03684	457412.RSAG_02978	4.14e-56	186.0	28NQR@1|root,2ZBQ4@2|Bacteria,1V3BU@1239|Firmicutes,24FVP@186801|Clostridia,3WPFF@541000|Ruminococcaceae	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03336	585394.RHOM_02385	6.83e-173	511.0	COG0465@1|root,COG0465@2|Bacteria,1TPTV@1239|Firmicutes,247WQ@186801|Clostridia	186801|Clostridia	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins	ftsH	-	-	ko:K03798	-	M00742	-	-	ko00000,ko00002,ko01000,ko01002,ko03110	-	-	-	AAA,FtsH_ext,Peptidase_M41
MGYG000000076_01893	622312.ROSEINA2194_02856	6.77e-225	631.0	COG1696@1|root,COG1696@2|Bacteria,1TP52@1239|Firmicutes,248V4@186801|Clostridia	186801|Clostridia	M	Membrane protein involved in D-alanine export	-	-	-	ko:K19294	-	-	-	-	ko00000	-	-	-	MBOAT
MGYG000000076_03006	411469.EUBHAL_03110	8.19e-19	86.3	COG0642@1|root,COG2205@2|Bacteria,1TQMV@1239|Firmicutes,247SE@186801|Clostridia,25UR7@186806|Eubacteriaceae	186801|Clostridia	T	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HD,HisKA,Hpt,MASE3,Response_reg
MGYG000000076_03763	585394.RHOM_11435	2.83e-172	490.0	COG2755@1|root,COG2755@2|Bacteria,1TS75@1239|Firmicutes,24DPZ@186801|Clostridia	186801|Clostridia	E	cellulose binding	-	-	-	-	-	-	-	-	-	-	-	-	CBM_3,Dockerin_1,Lipase_GDSL,Lipase_GDSL_2
MGYG000000076_02834	742740.HMPREF9474_00412	2.98e-122	356.0	COG0522@1|root,COG0522@2|Bacteria,1TR0J@1239|Firmicutes,248Y5@186801|Clostridia,21ZID@1506553|Lachnoclostridium	186801|Clostridia	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	rpsD	-	-	ko:K02986	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S4,S4
MGYG000000076_00810	622312.ROSEINA2194_04354	4.87e-214	595.0	COG0009@1|root,COG0009@2|Bacteria,1TP1I@1239|Firmicutes,248HS@186801|Clostridia	186801|Clostridia	J	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine	sua	-	2.7.7.87	ko:K07566	-	-	R10463	RC00745	ko00000,ko01000,ko03009,ko03016	-	-	-	CoaE,LMWPc,SUA5,Sua5_yciO_yrdC
MGYG000000076_01247	585394.RHOM_02550	5.6e-160	452.0	COG2996@1|root,COG2996@2|Bacteria,1TQ1Z@1239|Firmicutes,2498C@186801|Clostridia	186801|Clostridia	S	S1, RNA binding domain	cvfB	-	-	ko:K00243	-	-	-	-	ko00000	-	-	-	S1,S1_2
MGYG000000076_01468	585394.RHOM_03840	2.02e-76	234.0	COG1595@1|root,COG1595@2|Bacteria,1V1JW@1239|Firmicutes,24FYN@186801|Clostridia	186801|Clostridia	K	Belongs to the sigma-70 factor family. ECF subfamily	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_ECF,Sigma70_r2,Sigma70_r4,Sigma70_r4_2
MGYG000000076_03078	1235790.C805_02104	2.1e-36	125.0	COG5577@1|root,COG5577@2|Bacteria,1VKE4@1239|Firmicutes,24NB9@186801|Clostridia,25YZD@186806|Eubacteriaceae	186801|Clostridia	M	Coat F domain	-	-	-	-	-	-	-	-	-	-	-	-	Coat_F
MGYG000000076_00976	1235790.C805_03317	1.37e-30	115.0	2E5GB@1|root,33080@2|Bacteria,1VF18@1239|Firmicutes,24R5R@186801|Clostridia,25XG3@186806|Eubacteriaceae	186801|Clostridia	S	Psort location	-	-	-	-	-	-	-	-	-	-	-	-	CorC_HlyC
MGYG000000076_01763	622312.ROSEINA2194_01221	1.42e-96	291.0	28ZIG@1|root,2ZM9W@2|Bacteria,1V2JN@1239|Firmicutes,25BHX@186801|Clostridia	186801|Clostridia	S	SpoIIIAH-like protein	-	-	-	-	-	-	-	-	-	-	-	-	SpoIIIAH
MGYG000000076_01704	411463.EUBVEN_02080	9.83e-197	555.0	COG1168@1|root,COG1168@2|Bacteria,1TP5G@1239|Firmicutes,248AY@186801|Clostridia,25UZ8@186806|Eubacteriaceae	186801|Clostridia	E	Aminotransferase, class I	patB	-	4.4.1.8	ko:K14155	ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230	-	R00782,R01286,R02408,R04941	RC00056,RC00069,RC00382,RC00488,RC00710,RC01245,RC02303	ko00000,ko00001,ko01000,ko01007	-	-	-	Aminotran_1_2
MGYG000000076_00327	585394.RHOM_07775	1.29e-234	654.0	COG0213@1|root,COG0213@2|Bacteria,1TPCH@1239|Firmicutes,24848@186801|Clostridia	186801|Clostridia	F	pyrimidine-nucleoside phosphorylase	pdp	-	2.4.2.2,2.4.2.4	ko:K00756,ko:K00758	ko00240,ko00983,ko01100,ko05219,map00240,map00983,map01100,map05219	-	R01570,R01876,R02296,R02484,R08222,R08230	RC00063	ko00000,ko00001,ko01000	-	-	iHN637.CLJU_RS08925	Glycos_trans_3N,Glycos_transf_3,PYNP_C,dCMP_cyt_deam_1
MGYG000000076_02741	585394.RHOM_05745	1.15e-254	716.0	COG2755@1|root,COG2755@2|Bacteria,1TPYH@1239|Firmicutes,2486S@186801|Clostridia	186801|Clostridia	E	GDSL-like Lipase/Acylhydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	CBM_4_9,Esterase,Glyco_hydro_11,Glyco_hydro_30C,Lipase_GDSL_2
MGYG000000076_00374	622312.ROSEINA2194_01939	2.75e-54	179.0	2DSWH@1|root,32UTX@2|Bacteria,1VBEP@1239|Firmicutes,24PR0@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF334
MGYG000000076_01967	585394.RHOM_13210	1.42e-37	127.0	2E45D@1|root,32Z1F@2|Bacteria,1VEXR@1239|Firmicutes	1239|Firmicutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_01498	585394.RHOM_11925	5.16e-187	529.0	COG1316@1|root,COG1316@2|Bacteria,1TR1B@1239|Firmicutes,248RH@186801|Clostridia	186801|Clostridia	K	Cell envelope-like function transcriptional attenuator common domain protein	-	-	-	-	-	-	-	-	-	-	-	-	LytR_cpsA_psr
MGYG000000076_02163	1226325.HMPREF1548_04993	3.85e-300	825.0	COG0366@1|root,COG0366@2|Bacteria,1TR93@1239|Firmicutes,24AB0@186801|Clostridia,36FBK@31979|Clostridiaceae	186801|Clostridia	G	Sucrose phosphorylase	-	GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016758	2.4.1.329,2.4.1.7	ko:K00690,ko:K21350	ko00500,map00500	-	R00803	RC00028	ko00000,ko00001,ko01000	-	GH13	-	Alpha-amylase,Malt_amylase_C
MGYG000000076_02781	585394.RHOM_00985	0.0	2263.0	COG0086@1|root,COG0086@2|Bacteria,1TNYT@1239|Firmicutes,24925@186801|Clostridia	186801|Clostridia	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoC	-	2.7.7.6	ko:K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5
MGYG000000076_00023	585394.RHOM_05235	2.19e-29	108.0	2EG0W@1|root,339SX@2|Bacteria,1VKDR@1239|Firmicutes,24S7Y@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03230	588581.Cpap_4054	4.92e-67	222.0	2ACYN@1|root,312KC@2|Bacteria,1V4T7@1239|Firmicutes,24F13@186801|Clostridia	186801|Clostridia	S	TIGRFAM peptide maturation system protein, TIGR04066 family	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_01767	585394.RHOM_09090	1.23e-46	154.0	2CPUI@1|root,32SJW@2|Bacteria,1VA9Y@1239|Firmicutes,24NK6@186801|Clostridia	186801|Clostridia	S	Stage III sporulation protein AD	spoIIIAD	-	-	ko:K06393	-	-	-	-	ko00000	-	-	-	SpoIIIAC
MGYG000000076_00179	622312.ROSEINA2194_03108	5.17e-71	216.0	COG0484@1|root,COG0484@2|Bacteria,1VAWE@1239|Firmicutes	1239|Firmicutes	O	Molecular chaperone	dnaJ3	-	-	ko:K03686	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	DnaJ
MGYG000000076_00856	1235802.C823_05221	2.52e-36	132.0	COG3943@1|root,COG3943@2|Bacteria,1TPH4@1239|Firmicutes,248NI@186801|Clostridia,25VVR@186806|Eubacteriaceae	186801|Clostridia	S	Virulence protein RhuM family	-	-	-	-	-	-	-	-	-	-	-	-	Virulence_RhuM
MGYG000000076_02527	999413.HMPREF1094_00594	0.0	3492.0	COG0553@1|root,COG0827@1|root,COG4646@1|root,COG0553@2|Bacteria,COG0827@2|Bacteria,COG4646@2|Bacteria,1TPQA@1239|Firmicutes,3VNX4@526524|Erysipelotrichia	526524|Erysipelotrichia	L	Helicase C-terminal domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Helicase_C,N6_Mtase,ResIII,SNF2_N
MGYG000000076_03851	1235802.C823_05430	2.17e-16	73.9	2DEKQ@1|root,2ZNCW@2|Bacteria,1W1UH@1239|Firmicutes,24VRC@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03536	1256908.HMPREF0373_00351	6.14e-53	166.0	2AHV5@1|root,3187Y@2|Bacteria,1V9BN@1239|Firmicutes,24JGW@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03221	585394.RHOM_15295	3.91e-48	156.0	COG1476@1|root,COG1476@2|Bacteria,1V5YG@1239|Firmicutes,24UUJ@186801|Clostridia	186801|Clostridia	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_19,HTH_3
MGYG000000076_01644	585394.RHOM_12400	1.92e-150	443.0	COG4856@1|root,COG4856@2|Bacteria,1UZEV@1239|Firmicutes,25CGI@186801|Clostridia	186801|Clostridia	S	protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	YbbR
