feature	MGYG000000002	MGYG000000003	MGYG000000004	MGYG000000013	MGYG000000022	MGYG000000076	MGYG000000106	MGYG000000215	MGYG000000756	MGYG000001881	MGYG000002323
K01077	0	0	0	1	0	0	0	0	0	1	0
K01081	0	0	0	0	0	0	0	0	0	1	0
K01081 K11751	0	0	0	1	0	0	0	1	0	0	0
K01091	2	0	2	2	1	2	0	2	0	3	0
K01092	1	1	1	0	0	1	0	0	1	1	0
K01095	0	0	0	0	0	0	0	1	0	0	0
K01101	0	0	0	0	0	0	0	1	0	0	0
K01104	1	0	0	1	1	1	1	0	0	2	0
K01119	0	0	2	0	0	1	0	0	0	0	0
K01119 K11751	0	0	0	0	1	0	0	0	0	0	0
K01120 K03651	0	0	0	0	0	0	1	0	0	0	0
K01126	0	6	0	5	1	1	1	0	0	0	0
K01128	0	0	0	0	0	0	0	0	0	1	0
K01129	0	0	0	0	0	0	0	0	0	1	0
K01130	0	2	0	11	0	0	0	1	0	1	0
K01133	0	1	0	1	0	0	0	0	0	0	0
K01138	0	0	0	0	0	0	0	0	0	1	0
K01142	0	0	0	0	0	0	0	0	0	1	0
K01153	0	0	2	1	2	0	0	3	0	0	0
K01154	2	2	3	3	3	0	1	6	1	0	0
K01154 K07317	0	0	0	0	0	0	0	2	0	0	0
K01155	0	0	0	0	0	0	0	0	1	0	0
K01156	0	0	1	0	1	0	0	0	0	0	0
K01163	0	1	1	1	0	0	0	1	0	0	0
K01173	0	2	0	2	0	0	0	2	0	0	0
K01176	0	0	0	0	0	1	0	0	0	1	0
K01176 K01182	0	0	0	0	0	1	0	0	0	0	0
K01176 K01200	0	0	0	0	0	0	0	0	1	0	0
K01178	0	0	0	2	0	0	0	0	0	0	0
K01179	1	2	1	1	0	1	0	0	0	0	0
K01179 K01181	0	0	0	0	0	1	0	0	0	0	0
K01179 K01183	0	0	0	1	0	0	0	0	0	0	0
K01179 K01210	0	0	0	0	0	0	0	0	3	0	0
K01181	0	0	0	0	0	1	0	0	1	0	0
K01182	0	0	0	0	0	0	0	0	2	0	0
K01183	0	0	0	2	0	0	0	0	1	0	0
K01185	0	0	0	0	0	0	0	0	0	0	1
K01186	0	0	0	0	0	0	0	2	0	2	0
K01187	1	2	0	10	3	1	0	0	1	2	0
K01187 K05341 K05343	0	0	0	0	0	0	0	0	1	0	0
K01187 K21574	0	0	0	0	0	0	0	2	0	0	0
K01190	1	7	0	12	1	1	0	4	1	5	0
K01190 K01195	0	0	0	0	0	1	0	0	0	0	0
K01190 K01195 K12111	0	0	0	0	0	0	1	0	0	0	0
K01190 K12308	0	0	0	0	0	0	0	0	0	1	0
K01191	0	0	0	1	0	2	2	0	0	0	0
K01191 K16869	0	0	0	0	0	0	1	0	0	0	0
K01192	2	2	0	2	0	1	0	0	1	0	0
K01193	2	0	0	1	1	1	1	0	0	0	0
K01195	0	1	0	1	1	0	0	0	0	0	0
K01197	0	0	0	0	0	0	0	4	0	0	0
K01198	0	0	0	0	0	3	0	0	2	0	0
K01198 K01209	2	0	0	1	0	3	0	0	1	0	0
K01200	0	0	0	0	0	1	1	0	0	0	0
K01201	0	1	0	1	0	0	1	0	0	0	0
K01205	0	0	0	7	0	0	0	0	0	1	0
K01206	3	1	0	7	0	1	3	4	1	4	0
K01207	0	0	1	0	0	2	0	0	1	1	0
K01207 K05349	0	0	0	0	1	0	1	0	0	0	0
K01207 K12373	0	0	0	0	0	0	0	0	0	1	0
K01208	0	0	0	0	0	2	0	0	0	0	0
K01208 K11991	1	0	0	0	1	0	0	0	0	0	0
K01209	1	0	0	2	0	1	1	0	1	0	0
K01214	1	0	0	0	0	1	0	0	0	0	0
K01215	0	0	0	0	0	0	1	0	0	0	0
K01218	0	1	0	0	0	3	0	0	0	0	0
K01223	0	0	0	0	2	0	6	0	0	0	0
K01223 K05350	0	0	0	0	0	0	2	0	0	0	0
K01224	0	0	0	0	0	3	0	1	0	0	0
K01226	0	0	0	0	0	0	1	0	0	0	0
K01232	0	0	0	0	0	0	1	0	0	0	0
K01239	0	0	1	0	0	0	0	0	0	0	0
K01243	0	0	0	0	0	1	0	0	0	0	0
K01246	0	0	0	0	0	0	0	0	0	1	0
K01251	0	0	0	0	0	0	0	0	0	1	0
K01258	0	0	0	0	0	0	1	0	0	0	0
K01262	0	0	1	1	0	0	1	1	0	1	0
K01262 K01271	1	0	0	0	0	0	0	0	0	0	0
K01267	0	0	0	0	0	1	0	0	0	0	0
K01273	0	0	1	0	1	1	0	0	0	0	0
K01273 K01274	0	0	0	0	0	0	0	1	0	0	0
K01277	0	1	0	1	0	0	0	1	0	0	0
K01284	0	1	0	0	0	0	0	0	0	0	0
K01286 K07258	2	1	2	0	1	1	0	0	0	0	0
K01295	0	0	1	0	0	0	0	0	0	0	0
K01297	1	0	0	0	0	0	0	0	0	0	0
K01299	0	0	0	0	1	1	0	0	0	0	0
K01308	0	0	1	0	0	1	0	0	0	0	0
K01338	1	0	0	0	1	0	0	1	0	0	0
K01347 K15125	0	0	0	1	0	0	0	0	0	0	0
K01355	0	0	0	0	0	0	0	0	0	0	1
K01356	1	0	4	0	4	0	1	0	0	0	0
K01358	0	0	1	0	1	0	0	0	0	1	0
K01372	0	0	0	1	0	0	0	1	2	0	0
K01414	0	0	0	0	0	0	0	0	0	2	0
K01420	1	0	1	0	0	0	0	0	0	0	0
K01421	1	0	1	0	1	1	0	0	3	0	0
K01425	0	0	0	0	0	0	0	0	0	1	0
K01436	1	0	0	0	0	0	0	0	0	0	0
K01436 K21613	0	0	0	0	0	1	0	0	0	0	0
K01439	1	0	1	0	2	0	0	0	0	0	0
K01442	0	1	0	2	1	1	0	0	0	0	0
K01443	0	0	0	4	0	0	0	2	0	1	0
K01447	1	0	0	5	0	1	0	1	0	3	0
K01447 K07273	0	0	0	0	0	0	1	0	0	0	0
K01448	0	0	3	2	0	3	0	1	0	1	0
K01449	1	0	2	0	1	1	0	0	0	0	0
K01451	0	0	0	0	0	0	0	0	0	0	1
K01457	0	0	0	0	0	1	0	0	0	0	0
K01462	0	0	0	0	0	0	0	0	0	2	0
K01464	0	0	0	0	0	0	0	0	0	0	2
K01465	0	0	0	0	0	0	0	0	0	2	2
K01470	0	0	2	0	0	0	0	0	1	0	0
K01480	1	0	0	0	0	0	0	0	0	0	0
K01483	0	0	1	0	0	0	0	0	0	0	0
K01488	0	0	0	0	0	0	1	0	0	0	0
K01493	0	0	0	0	1	0	0	0	0	1	0
K01515	1	1	0	1	0	0	1	0	0	0	0
K01524	0	0	0	0	0	0	0	0	0	1	0
K01533 K17686	0	0	0	0	0	0	0	0	2	0	0
K01537	0	2	3	0	1	2	2	1	0	1	0
K01560	0	0	1	0	0	0	0	0	0	0	0
K01560 K07025	0	0	0	0	1	0	0	0	1	0	0
K01571	0	0	0	0	0	0	0	0	0	1	0
K01571 K01960	0	1	0	0	0	0	0	0	0	0	0
K01572	1	0	1	1	1	0	0	0	0	1	0
K01573	0	0	0	1	0	0	0	0	0	0	0
K01580	0	0	0	0	0	0	0	0	0	1	0
K01582 K01583 K01585	0	0	1	0	1	0	0	0	0	0	0
K01585	0	0	0	0	0	0	0	0	0	1	0
K01586	0	0	0	0	0	0	0	0	0	1	0
K01588	0	0	0	0	0	0	0	0	0	1	0
K01591	0	0	0	0	0	0	0	0	0	1	0
K01598	0	0	0	0	0	0	0	0	0	1	0
K01607	0	1	0	1	0	0	0	3	2	1	0
K01609	0	0	0	0	0	0	0	0	0	2	0
K01613	0	0	0	0	0	0	0	0	0	1	0
K01624	1	0	0	0	0	0	1	0	0	1	0
K01625	0	0	3	0	0	0	1	0	0	0	0
K01626	0	0	0	0	0	1	0	0	0	1	0
K01627	0	0	0	0	0	0	0	0	0	1	0
K01628	1	0	0	0	0	0	0	0	0	0	0
K01628 K11216	1	0	1	0	0	0	0	0	0	0	0
K01630 K12660	0	0	1	0	0	0	0	0	0	0	0
K01639	0	0	0	0	0	0	0	0	0	1	0
K01647	0	0	1	0	0	4	0	0	0	1	0
K01649	0	0	0	0	0	0	0	0	0	4	0
K01649 K02594	0	0	1	0	0	0	0	0	0	0	0
K01652	1	0	0	0	0	1	0	0	0	1	0
K01653	0	0	0	0	0	1	0	0	0	1	0
K01657	0	0	0	0	0	0	0	0	0	1	0
K01662	0	0	0	0	0	0	1	0	0	0	0
K01667	0	0	1	0	0	0	0	0	0	1	0
K01676	0	0	0	0	0	0	0	0	0	1	0
K01681	0	0	0	0	0	0	0	0	0	1	0
K01683 K01684	0	0	5	0	1	0	0	0	0	0	0
K01687	0	0	0	0	0	1	0	0	0	1	0
K01689	0	0	0	0	0	0	0	0	0	1	0
K01695	0	0	1	0	0	0	0	0	0	0	0
K01696	0	0	0	0	0	0	0	0	0	1	0
K01698	0	0	0	0	0	0	0	0	0	1	0
K01703	0	0	1	0	0	0	0	0	0	2	0
K01704	0	0	1	0	0	0	0	0	0	0	0
K01708	0	0	0	0	0	0	1	0	0	0	0
K01710	0	0	0	0	0	0	0	0	0	1	0
K01711	0	0	0	0	0	0	0	0	0	1	0
K01714	0	2	1	0	0	0	2	0	0	0	0
K01735	0	0	0	0	0	0	0	0	0	1	0
K01737	0	0	0	0	0	0	0	0	0	1	0
K01738	0	0	0	0	0	0	0	0	0	2	0
K01739	0	0	1	0	0	0	0	0	0	0	0
K01740	0	0	1	1	0	0	0	2	2	1	0
K01750	0	1	0	0	0	0	0	0	0	0	0
K01752	0	0	1	0	0	0	0	0	0	1	0
K01754	0	0	0	0	0	0	0	0	0	1	0
K01756	0	0	0	0	0	0	0	0	0	1	0
K01759	2	0	2	0	0	0	1	0	0	0	0
K01771	0	0	0	1	0	0	0	0	0	0	0
K01775	0	0	0	0	0	0	0	0	0	2	0
K01775 K02529	1	0	0	0	0	1	0	0	0	0	0
K01783	0	0	1	0	0	0	0	0	0	0	0
K01784	0	0	0	1	0	1	0	1	1	2	0
K01784 K02473 K08678	0	1	0	0	0	0	0	0	0	0	0
K01784 K17947	0	0	0	0	0	0	1	0	0	0	0
K01784 K21009	1	0	0	0	0	1	0	0	0	0	0
K01785	0	2	1	2	1	1	0	0	1	1	0
K01787	0	0	0	0	0	0	0	0	0	1	0
K01790	0	0	0	0	0	1	0	0	0	0	0
K01791	1	0	0	2	0	0	0	0	0	0	0
K01792	0	0	0	0	0	0	0	0	1	1	0
K01799	0	0	1	0	0	0	0	0	0	0	0
K01802	1	0	0	0	0	0	0	0	1	0	0
K01802 K03768	0	0	1	1	0	0	0	1	0	0	0
K01802 K03772	0	1	0	0	0	0	0	0	0	0	0
K01802 K03773	0	0	0	1	0	0	0	0	0	0	0
K01803	0	0	0	0	0	0	1	0	0	0	0
K01803 K21910	1	0	1	0	0	0	0	0	0	0	0
K01808	2	0	1	0	0	0	0	0	0	0	0
K01809	0	0	0	0	0	0	0	0	0	1	0
K01811	1	1	0	4	0	3	0	1	0	0	0
K01814	0	0	0	0	0	0	0	0	0	2	0
K01834	0	0	0	0	1	1	1	0	0	0	0
K01835	0	0	1	0	0	0	0	0	0	1	0
K01835 K01840	0	0	0	0	0	1	1	0	0	0	0
K01841	1	0	0	0	0	0	0	0	0	0	0
K01843	1	0	0	0	0	0	0	0	0	0	0
K01847	0	0	0	0	0	0	0	0	0	2	0
K01858	0	0	1	0	0	0	0	0	0	0	0
K01866	0	0	0	0	0	0	0	0	0	1	0
K01867	0	0	0	0	0	0	0	0	0	1	1
K01874	0	0	0	0	0	0	0	0	0	2	0
K01875	0	0	0	0	0	0	0	0	0	2	0
K01880	0	0	0	0	0	0	0	0	0	1	0
K01892	0	0	0	0	0	0	0	0	0	1	0
K01894	0	0	0	0	0	0	0	0	0	1	0
K01895	0	0	2	0	0	0	0	0	0	0	0
K01897	1	3	0	2	3	0	0	1	0	0	0
K01899	0	0	0	0	0	0	0	0	0	0	2
K01911	0	0	0	0	0	0	0	0	0	1	0
K01912	0	0	1	1	0	0	0	0	0	0	0
K01915	0	0	1	0	1	0	0	0	0	0	0
K01921	1	0	0	0	0	1	0	0	0	1	0
K01923	0	0	0	0	0	0	0	0	0	1	0
K01929	0	0	0	0	0	0	0	0	0	2	0
K01934	0	0	0	0	0	0	0	0	0	1	0
K01935	0	0	0	0	0	0	0	0	0	1	0
K01941	0	0	0	0	0	1	0	0	0	0	0
K01950	0	0	0	0	0	0	0	0	0	1	0
K01951	0	0	0	1	0	0	0	0	1	1	0
K01952	0	0	0	0	0	0	0	0	0	1	0
K01953	0	0	0	0	0	1	0	0	0	0	0
K01955	0	0	0	0	0	0	0	0	0	1	0
K01960	0	0	0	3	0	0	0	1	0	0	0
K01961 K01965	0	0	0	1	0	0	0	0	0	0	0
K01966	0	0	0	2	0	0	0	0	0	1	0
K01972	0	0	0	0	0	0	0	0	0	1	0
K01989	2	0	0	0	2	2	0	0	0	0	0
K01990	6	1	3	3	5	7	6	1	2	5	0
K01990 K02003 K02068 K05685	0	0	0	0	0	0	0	1	0	0	0
K01990 K09691	0	0	0	0	0	1	0	0	0	0	0
